Name of Product,NSQ Result,Manufactured By,Reporting Source,Reporting by Lab/State,Batch No,Manufacturing Date,Expiry Date,Reporting Month & Year,Source
"Aceclofenac, Paracetamol & Serratiopeptidase Tablets",The sample does not conform to the claim with respect to Assay of Aceclofenac.,"Mayasha Lifesciences, H.B.86, Village- Bhatian, Nalagarh, Distt.-Solan (H.P.) 174101.",State Lab,DTL Jaipur,MDT-4458,9/1/2025,8/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Calcium Levulinate, Cholecalciferol & Cyanocobalmin Injetion Vet",The sample does not conform to the IP with respect to Assay of Cholecalciferol.,"Janya Biocare Pvt. Ltd., Khasra No-169, Tanshipur, Roorkee (U.K.)",State Lab,DTL Jaipur,JIN25-028,5/1/2025,4/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Calcium Carbonate Vitamin D3, Magnesium & Zinc Sulphate Tablets",The sample does not conform to the claim with respect to Assay of Vitamin D3 and Elemental Zinc.,"Lifevision Healthcare, Plot No. 138-139-140-141-142, E.P.I.P., Phase-I, Jharmajri, Baddi, Distt. Solan (H.P.) 174103.",State Lab,DTL Jaipur,LTA-47700,4/1/2025,9/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Ambroxol Hydrochloride, Terbutaline Sulphate and Guaiphenesin Syrup & Menthol Syrup","The sample does not conform to the claim with respect to In Assay Terbutaline Sulphate, Ambroxol Hydrochloride and Guaiphenesin.","Marvellon Pharmaceuticals Pvt. Ltd., Kh. No. 114, Vill. Damowala, P.O. Barotiwala Baddi, Distt. Solan (H.P.)-174103.",State Lab,DTL Jaipur,MDL-B458,9/1/2024,8/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Ambroxol Hydrochloride, Terbutaline Sulphate and Guaiphenesin Syrup",The sample does not conform to the claim with respect to In Assay of Ambroxol Hydrochloride.,"CIPCO Limited, 35-36/1, A.B. Road, Pigdamber, Dist. Indore 453331 (MP) India",State Lab,DTL Jaipur,AT18S125,9/1/2025,8/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Amlodipine & Atenolol Tablets IP,The sample does not conform to the I.P. with respect to Assay of Amlodipine.,"Centurion Remedies Pvt. Ltd., G/5, G/6, Industrial Estate, Gorwa, Vadodara-390016.",State Lab,DTL Jaipur,TH-130010,11/1/2024,10/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Ambroxol Hydrochloride, Terbutaline Sulphate and Guaiphenesin Syrup",The sample does not conform to the claim with respect to Assay of Ambroxol Hydrochloride.,"CIPCO Limited, 35-36/1, A.B. Road, Pigdamber, Dist. Indore 453331 (MP) India",State Lab,DTL Jaipur,AT22A225,8/1/2025,7/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Ambroxol Hydrochloride, Terbutaline Sulphate and Guaiphenesin Syrup",The sample does not conform to the claim with respect to Assay of Ambroxol Hydrochloride.,"CIPCO Limited, 35-36/1, A.B. Road, Pigdamber, Dist. Indore 453331 (MP) India",State Lab,DTL Jaipur,AT13A225,8/1/2025,7/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Ambroxol Hydrochloride, Terbutaline Sulphate and Guaiphenesin Syrup",The sample does not conform to the claim with respect to Assay of Ambroxol Hydrochloride.,"CIPCO Limited, 35-36/1, A.B. Road, Pigdamber, Dist. Indore 453331 (MP) India",State Lab,DTL Jaipur,AT48J325,7/1/2025,6/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Calcium with Vitamin D3 Suspension,The sample does not conform to the claim with respect to Assay of Vitamin D3.,"JPEE Drugs, Plot No. 53, Sector-6A, SIDCUL, Haridwar (Uttarakhand)",State Lab,DTL Jaipur,JDL-3543,12/1/2024,11/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Ambroxol Hydrochloride, Terbutaline Sulphate and Guaiphenesin Syrup",The sample does not conform to the claim with respect to Assay of Ambroxol Hydrochloride.,"CIPCO Limited, 35-36/1, A.B. Road, Pigdamber, Dist. Indore 453331 (MP) India",State Lab,DTL Jaipur,AT11S125,9/1/2025,8/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Cefixime & Ofloxacin Tablets,The sample does not conform to the claim with respect to Assay of Anhydrous Cefixime.,"Mayoford Pharma, Near Railway Crossing, Chambaghat, Solan, Distt. Solan (H.P.) 173213",State Lab,DTL Jaipur,MBT-24775,9/1/2025,8/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Paracetamol Tablets IP 650mg,The sample has been declared as Not of Standard Quality as it does not conform to IP standards with respect to Test for Dissolution only.,"Vivek Pharmachem (India) Ltd., NH-8, Chimanpura, Amer, Jaipur-303102.",State Lab,Karnataka,PCT25094,5/1/2025,4/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Rabeprazole Sodium Gastro-resistant and Domperidone Prolonged-release Capsules,The sample does not conform to the claim with respect to Assay of Rabeprazole Sodium.,"BON-HEUR Pharmaceuticals, Plot No. 130B-131, Sector-6A, IIE-Sidcul, Haridwar-249403 Uttarakhand.",State Lab,DTL Jaipur,BHC-25070175,7/1/2025,12/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Doxycycline & Lactic Acid Bacillus Tablets,The sample does not conform to the claim with respect to Assay of Doxycycline & Description.,"Titanes Pharma, Vill. Bathu, Tehsil Haroli, Distt. Una (HP) 174507.",State Lab,DTL Jaipur,T4514,11/1/2024,10/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Pregabalin & Nortriptyline Tablets,The sample does not conform to the claim with respect to Assay in Nortriptyline.,"Primus Pharmaceuticals, Sadhoura Road, Mouza Ogli Khari Vill Asgarpur Majra, Kala Amb, Distt. Sirmour-(H.P.) 173030.",State Lab,DTL Jaipur,PT-042515,4/1/2025,3/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Povidone-Iodine Ointment USP,Content,"Navkar Lifesciences, Plot No.76, Lodhi Majra, Industrial Area, Baddi, Distt. Solan (H.P)",State Lab,"Drugs Testing Laboratory, Chennai-06",OG5019A,7/1/2025,6/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Dextromethorphan Hbr, Phenylephrine Hcl, Chlorpheniramine Maleate Syrup",Content,"Omish Laboratories Pvt. Ltd, Plot No.D-10, Grallops Industrial Part-1,Ahmedabad-Rajkot Highway, NH-8A, Rajoda, Bavla, Ahmedabad - 382220(Gujarat)",State Lab,"Drugs Testing Laboratory, Madurai-19",OML25074,7/1/2025,6/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Iron and folic acid syrup IP,Description,"Hindustan Laboratories Limited, Plot No.5-9, 1, Survey No. 38/2, Aliyali, Palghar (W), Dist-Palghar - 401404 (M.S)",State Lab,"Drugs Testing Laboratory, Madurai-19",LAV25159AL,8/1/2025,10/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Phenylephrine Hcl & Chlorpheniramine Maleate, Paracetamol Oral Suspension",Content,"Baseman Healthcare Inc, Plot No.10 & 11, GST Road, Balaram Avenue, Thanakkankulam Village, Madurai, Tamilnadu-625006",State Lab,"Drugs Testing Laboratory, Madurai-19",BHCI273,3/1/2025,2/1/2028,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Terbutaline Sulphate, Guaiphenesin, Ambroxol Hydrochloride and Menthol Syrup",Content,"Cachet Pharmaceuticals Pvt. Ltd, Village - Thana, Baddi, Dist. Solan, Himachal Pradesh-173 205",State Lab,"Drugs Testing Laboratory, Madurai-19",BKS24014C,11/1/2024,10/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Terbutaline Sulphate, Bromhexine Hcl, Guaiphenesin Syrup",Content,"Dr.Reddy's Laboratories Limited, Plot No.57, Village Kunjhal, P.O, Barotiwala, Tehsil Baddi, Dist. Solan (HP)-174103",State Lab,"Drugs Testing Laboratory, Madurai-19",D240694,9/1/2024,8/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Ambroxol Hydrochloride, Terbutaline Sulphate, Guaiphenesin And Menthol Syrup",Content,"Zeta Formulation Pvt. Ltd., No.157, GST Road (Ground & First Floor), Pukkathurai, Madhuranthagam Taluk, Kancheepuram District, 603116",State Lab,"Drugs Testing Laboratory, Chennai-06",MZYA02,1/1/2025,12/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride and Chlorpheniramine Maleate Syrup",Content,"Systole Remedies Pvt Ltd, Vill.Ogli, Kala Amb, Teh.Nahan, Distt.Sirmour (HP)-173030",State Lab,"Drugs Testing Laboratory, Madurai-19",SRLF250099,6/1/2025,5/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Ambroxol Hydrochloride, Guaiphenesin & Levosalbutamol Sulphate Syrup",Content,"Sarthak Biotech Pvt. Ltd, 198-A, Sector-3, HSIIDC, Kamal-132001 (HR)",State Lab,"Drugs Testing Laboratory, Chennai-06",SBL-8,4/1/2025,3/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Levosalbutamol Sulphate, Ambroxol Hydrochloride And Guaiphenesin Syrup",Content,"AASSK Pharmaceuticals Pvt. Ltd, S.No.243/2, Plot No.9, Dr.Ambedkar Street, Kozhumanivakkam Village, Mangadu, Chennai-600122",State Lab,"Drugs Testing Laboratory, Chennai-06",ASL24318,12/1/2024,11/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Ambroxol Hydrochloride, Guaiphenesin, Levosalbutamol Sulphate Syrup",Content,"Onex Pharmaceuticals, G1-234, RIICO, Hirawala, Industrial Area, Kanota,JP (RAJ.),303012",State Lab,"Drugs Testing Laboratory, Chennai-06",A-250613,6/1/2025,5/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Terbutaline Sulphate, Guaiphenesin & Ambroxol Hcl Syrup",Content,"American Pharma and Sciences, 40, Bharathi Street, Ayyappa Nagar, K.K. Nagar, Tamilnadu, 620021",State Lab,"Drugs Testing Laboratory, Chennai-06",HTD-24103,4/1/2024,3/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Telmisartan Tablets IP 40mg,Dissolution,"Marc Lifesciences Sikkim, Khasara No.35, 36, 409, 410, Vill. Julanglay, Block L, Maneydara Namthang, Distt. Namchi, South Sikkim",State Lab,"Drugs Testing Laboratory, Chennai-06",STS-126,6/1/2025,5/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Telmisartan Tablets IP 40 mg,Dissolution,"Marc Lifesciences Sikkim, Khasara No.35, 36, 409, 410, Vill. Julanglay, Block L, Maneydara Namthang, Distt. Namchi, South Sikkim",State Lab,"Drugs Testing Laboratory, Chennai-06",STS-117,5/1/2025,4/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Atorvastatin Calcium Tablets IP 10mg,Dissolution,"Himalaya Meditek Pvt. Ltd, Plot No.35 & 36, Pharmacity, selaqui, Industrail Area, Dehradun, 248197",State Lab,"Drugs Testing Laboratory, Chennai-06",HTN792G,7/1/2024,6/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Clobetasol Propionate, Neomycin, Miconazole Nitrate & Chlorhexidine Cream",Content,"Leeford Healthcare Ltd., At:Plot No.77, 78, 79-A, 79-B & 116, EPIP, Phase-II, village-Thana, Tehsil-Baddi, Distt. Solan, (HP), 173205",State Lab,"Drugs Testing Laboratory, Chennai-06",DLPS5019,7/1/2025,6/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Paracetamol, Chlorpheniramine Maleate, Phenylephrine Hydrochloride, Sodium Citrate & Menthol Suspension",Content,"Acumen Pharmaceuticals Pvt. Ltd. -Unit-II, RS No.2, Plot No.67-69 & 109-111, Kurumbapet, Puducherry-605009",State Lab,"Drugs Testing Laboratory, Madurai-19",24L041,5/1/2024,4/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Dextromethorphan HBR, Phenylephrine Hcl & Chlorpheniramine Maleate Syrup",Content,"Alzey Pharmaceuticals Pvt. Ltd., Plot No.202, HSIIDC, Industrial Estate, Phase-I, Barwala, Distt.-Panchkula (HR)-134118",State Lab,"Drugs Testing Laboratory, Madurai-19",ALD1185,5/1/2025,4/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Dexamethasone Tablets IP 0.5mg,Dissolution & Content,"Saintlife Pharmaceuticals Ltd, 323, Central Hope Town, Industrial Area, Selaqui, Dehradun-248011, Uttarakhand, India",State Lab,"Drugs Testing Laboratory, Chennai-06",TA24659,8/1/2024,7/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Lornoxicam & Paracetamol Tablets,Uniformity of Weight,"Cosmas Pharmacls Ltd., Buranwala Road, Village: Kotla, P.O.: Barotiwala, Solan (HP)-174103",State Lab,"Drugs Testing Laboratory, Madurai-19",CT60058,4/1/2025,3/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride and Chlorpheniramine Maleate Syrup",Content,"Medimark Drugs & Pharmaceuticals, Plot No.39, Sector-6A, IIE, SIDCUL, Haridwar-249403 (U.K)",State Lab,"Drugs Testing Laboratory, Madurai-19",ML25245,8/1/2025,7/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Benzalkonium Chloride Disinfectant Fluid,Content,"Surfactants and Allied Chemicals (P) Ltd, Plot No.4, Gowri nagar, Mugalivakkam, Chennai, TN, India, 600116",State Lab,"Drugs Testing Laboratory, Chennai-06",MSSK01,11/1/2025,10/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Terbutaline Sulphate, Ambroxol, Hydrochloriode. Guaiphenesin & Menthol Syrup",Content,"Renowed Life Sciences, Plot No. 10,11, Sector-6B, SIDCUL, Haridwar-249403, Uttarakhand (India)",State Lab,"Drugs Testing Laboratory, Chennai-06",DL505018,5/1/2025,4/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Levosalbutamol, Ambroxol Hydrochloride & guaiphenesin Oral Drops",Content,"Biocore Pharmaceuticals, Plot No.8-C, D.I.C, Indl. Area, Lodhimajra, Baddi, distt. Solan (HP),173205",State Lab,"Drugs Testing Laboratory, Chennai-06",BL24-249,11/1/2024,10/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Clopidogrel Tablets IP,Description,"Bactolac Formulations Pvt. Ltd, Plot No.70 (Part), TSIIC-IALA, Phase-I, Cherlapally Village, Kapra Mandal, Medchal-malkajgiri District, Telangana-500051, India",State Lab,"Drugs Testing Laboratory, Chennai-06",BCGT25042,7/1/2025,6/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Clopidogrel Tablets IP,Description,"Bactolac Formulations Pvt. Ltd, Plot No.70 (Part), TSIIC-IALA, Phase-I, Cherlapally Village, Kapra Mandal, Medchal-malkajgiri District, Telangana-500051, India",State Lab,"Drugs Testing Laboratory, Chennai-06",BCGT25048,7/1/2025,6/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Clopidogrel Tablets IP,Description,"Bactolac Formulations Pvt. Ltd, Plot No.70 (Part), TSIIC-IALA, Phase-I, Cherlapally Village, Kapra Mandal, Medchal-malkajgiri District, Telangana-500051, India",State Lab,"Drugs Testing Laboratory, Chennai-06",BCGT25049,7/1/2025,6/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Terbutaline Sulphate, Bromhexine Hydrochloride, Guiaphenesin & Menthol Syrup",Content,"Unicure India Ltd, Plot No.46(B), 49B, Vill. Raipur, Bhawanpur, Roorkee, Distt. Haridwar, Uttarakhand (India)",State Lab,"Drugs Testing Laboratory, Madurai-19",EM1LF002,4/1/2025,3/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
ROSE-4 DSR,content of Rabeprazole,"Supercure Biotech Pvt. Ltd. Plot No. 99/4/1, Friends Colony, G.T. Road, Kundli, District-Sonepat (Haryana)",State Lab,Uttar Pradesh,C2269,1/1/2025,12/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Pantoprazole Sodium Gastro-resistant & Domperidone Prolonged Release Capsule IP,Assay of Domperidone,"Supercure Biotech Pvt. Ltd. Plot No. 99/4/1, Friends Colony, G.T. Road, Kundli, District-Sonepat (Haryana)",State Lab,Uttar Pradesh,C-1594,2/1/2024,1/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Enteric Coated Rabeprazole Sodium & Domperidone Sustained Release Capsule,content of Rabeprazole Sodium,"SMBJ Pharmaceuticals Pvt. Ltd., Plot No. 330, Phase-I, HSIIDC, Industrial Estate, Barhi, District - Sonepat-131101 (Haryana)",State Lab,Uttar Pradesh,SMC-1073,7/1/2024,6/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Prednisolone Tablets IP 5mg,Assay,"Okvik Pharma Pvt. Ltd. 1913-K, HSIIDC, Phase-I, Rai, Industrial Area, Sonepat ? 131029 (Haryana)",State Lab,Uttar Pradesh,ATS-25001,5/1/2025,4/1/2028,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Montelukast & Levocetirizine Dihydrochloride,Assay of Montelukast Sodium IP & Levocetirizine Dihydrochloride IP,"Pharma Force Lab (Unit II) Plot No. 83-86, Industrial Area Gondpur, Tehsil Paonta Sahib, Distt. Sirnour (HP)",State Lab,"FDTL,Uttarakhand",E9AIY029,8/1/2025,7/1/2027,Feb-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Amobroxol Hydrochloride, Guaiphenesin and Levosalbutamol Sulphate Syrup",Assay of Levosalbutamol Sulphate IP,"Rumy Pharmaceuticals Plot No. 40, DIC Indl. Area Baddi, Distt. Solan (HP) 173205",State Lab,"FDTL,Uttarakhand",RPL-1013,10/1/2025,9/1/2027,Feb-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Levosalbutamol Sulphate, Ambroxol HCl & Guaiphenesin Syrup",Assay of Levosalbutamol Sulphate IP : Less than prescribed limit.,"Trio Lifescience Pvt. Ltd. 3008, GIDC Phase-IV Vatva, Ahmedabad 382445",State Lab,"FDTL,Uttarakhand",DR010,11/1/2024,10/1/2026,Feb-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Mefenamic Acid IP 250 mg & Dicyclomine Hydrochloride IP 20 mg Tablets,Description,"Star Filteration System, Rampur Jattan, Trilokpur road, Kala-Amb, Tehsil Nahan, Distt. Sirmour-173030 (HP)",State Lab,"FDTL,Uttarakhand",ST251442,7/1/2025,6/1/2027,Feb-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Sorbitol Solution 70% IP,Water : 25.9994% (Limit 28.0%-32.0%) ? Less than prescribed limit.,Gujarat Ambuja Exports Ltd.,State Lab,"FDTL,Uttarakhand",2526016,6/1/2025,5/1/2030,Feb-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Calveo Moisturizing Hair Masque (Keratin & Botox),Test For pH,"Resa Life Science , P-51, Sector-3, Bawana Indl. Area, Delhi-110039",State Lab,Government of NCT of Delhi,10,9/1/2024,8/1/2027,Feb-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Golecha Mirchi Mehandi Cone,Test Loss On Drying,"Golecha Herbal Unlimited (Unit 2), D-116, Sector 4, DSIIDC, Bawana Industrial Area, Delhi-110039",State Lab,Government of NCT of Delhi,A-1978,5/1/2025,4/1/2027,Feb-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Golecha Heena Paste Maroon,Test Loss On Drying,"Golecha Herbal Unlimited (Unit 2), D-116, Sector 4, DSIIDC, Bawana Industrial Area, Delhi-110039",State Lab,Government of NCT of Delhi,A-1980,5/1/2025,4/1/2028,Feb-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Ambroxol Hydrochloride, Levosalbutamol & Guaiphenesin Syrup",The sample does not conform to Manufacturer's specification with respect to tests of Assay of Levosalbutamol and Ambroxol Hydrochloride.,"Athens Life Sciences,Mauza Rampur, Jattan, Nahan Road, Kala Amb, Distt. Sirmour, H.P.-173030",CDSCO Labs,"CDL, Kolkata",LG24-0413,3/1/2024,2/1/2026,Feb-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Pheniramine Maleate Injection IP 2 ml.,","The sample does not conform to I.P with respect to test for 'pH', 'Particulate matter', 'Assay of Pheniramine Maleate' and 'Description'.","Sanofi India Ltd. Plot No. J-174, J-168, J-168/1, M.I.D.C., Tarapur- 401506, Baisar, Dist- Thane",CDSCO Labs,"CDL, Kolkata",2123096,10/1/2023,9/1/2026,Feb-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Absorbent Cotton Wool IP,"The sample does not conform to I.P. 2022 with respect to Sinking time, Fluorescence, Water soluble substances and Sulphated ash.","Jindal Medicot Ltd.Village Thathal, Tehsil Amb, Distt. Una (H.P.)",CDSCO Labs,"CDL, Kolkata",10,7/1/2025,6/1/2028,Feb-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Dispersible Aspirin Tablets,The sample is not of standard quality for the reason stated under Description of the tablets.,"Jackson Laboratories Pvt.Ltd. 22-24, Majitha Road, Bye Pass, Amritsar-143 001(India)",CDSCO Labs,"RDTL, Guwahati",T-6705,7/1/2025,6/1/2027,Feb-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Dextromethorphan HBr, Phenylephrine HCl & Chlorpheniramine Maleate Syrup","The sample does not conform to claim as per Patent and Proprietary in respect to the Assay of Phenylephrine Hydrochloride, Chlorpheniramine Maleate","CIEL Pharma Pvt. Ltd.Plot No. 1 & 2, Industrial Estate Davni, HPSDIC, Baddi, District Solan - 173205, Himachal Pradesh",CDSCO Labs,"RDTL, Chandigarh",CPL250106,10/1/2025,9/1/2027,Feb-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Phenylephrine Hydrochloride & Chlorpheniramine Maleate Syrup IP,",The sample does not conform to claim as per IP 2022 in respect to the Test of Total fungal count.,"Saar Biotech Pvt. Ltd.VPO - Bhud, Tehsil - Baddi Distt. Solan (H.P.) 173 205",CDSCO Labs,"RDTL, Chandigarh",2512231,12/1/2025,11/1/2027,Feb-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Tranexamic Acid Injection I.P,",The sample received does not conform to I.P. 2022 specification with respect to the test for bacterial endotoxins only.,"Marc Laboratories Ltd. (Unit III),Plot No.107 & 112, H.P.S.I.D.C, Baddi, Distt. Solan (HP)",CDSCO Labs,"CDTL, Hyderabad",TG-156,8/1/2025,7/1/2027,Feb-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Iron with Folic Acid Syrup IP,The sample does not conform to I.P with respect to the tests for Assay of Ferrous Sulphate equivalent to Elemental Iron and Free ferric compounds.,"Galpha Laboratories Ltd.,Village- Thana, Baddi, Himachal Pradesh- 173205, H.O. E-221, Kanakia Zillon, Junction Of LBS & CST Road, BKC Annex, Kurla West, Mumbai- 400070",CDSCO Labs,"CDTL, Indore",IFIS25026,11/1/2025,4/1/2027,Feb-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Pantoprazole Sodium GR Tablets IP 40 MG,The sample does not conform to I.P.w.r.t. the test for Dissolution.,"Biocenna Healthcare Pvt Ltd., Kh No. 218, Vill. Khatakheri, Near Dev Bhoomi, IND. Area, Puhana, Roorkee-247661, UK",State Lab,"SDTL, Assam",BCT24-1912,3/1/2025,2/1/2027,Feb-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Riboflavin Tablets IP 5 MG,The sample does not conform to I.P. w.r.t. the tests for Dissolution.,"Askon Healthcare, 11-B, Industrial Area, Maxi Road, Ujjain - 456010",State Lab,"SDTL, Assam",RB-2433,11/1/2024,10/1/2027,Feb-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Telmisartan Tablets IP 40MG,"Sample fails the test Dissolution as per IP, as specified in the Laboratory Protocol","Swiss Garnier Life Sciences, 21-23, Industrial Area, Mehalpur, Dist.UNA, Himachal Pradesh - 174 315",State Lab,DTL Thiruvananthapuram,493TTF008,7/1/2025,6/1/2027,Feb-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Sodium Bicarbonate Tablets USP 1000mg,Sample Shows Category of Tablets (Capping and Brittleness) as described under DCC Guidelines on NSQ Drugs approved in 1993.,"Rivpra Formulations Pvt. Ltd, Plot No.8, Sector-6A, IIE, SIDCUL, Haridwar- 249403(U.K)",State Lab,DTL Thrissur,T-2406004,6/1/2024,5/1/2026,Feb-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Paracetamol and Tramadol Hydrochloride Tablets IP,The Sample does not conform to IP Standards with respect to Dissolution.,"Chimak Health Care, Below D.F.O Office, P.O, Galanag, Solan-173212 (H.P)",State Lab,DTL Thrissur,LBHK25001,2/1/2025,1/1/2028,Feb-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Sodium Chloride Injection IP 0.9%w/v,Sample fails the tests ' Sterility and Bacterial Endotoxins'.,"Aculife Healthcare Pvt. Ltd, Sachana, Gujarat- 382150, India",State Lab,DTL Thiruvananthapuram,1F243223,6/1/2024,5/1/2027,Feb-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Gabapentin capsules IP 400mg,Description and Uniformity of Weight,"Levotic Pharma Plot No-6, Phase-II, Industrial Area, Sansarpur Terrace, Distt-Kangra, HP-176501",State Lab,"SDTL, Punjab",LPC25029,2/1/2025,1/1/2027,Feb-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Calcium with Vitamin D3 Suspension,The sample does not conform to the claim with respect to Assay of Vitamin D3 (Nil).,"JPEE Drugs, Plot No. 53, Sector-6A, SIDCUL, Haridwar (Uttarakhand)",State Lab,DTL Jaipur,JDL-3539,12/1/2024,11/1/2026,Feb-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
